Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
PhD,1-3 years,"Sales Strategy, Market Research","Team Management, Excel, Customer Support",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, Sales Strategy, Market Research, Excel, Team Management",Excel
Master,1-3 years,"Sales Strategy, Operations","Team Management, Customer Support, Accounting, Salesforce, Communication",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, Sales Strategy, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
Bachelor,5+ years,"Sales Strategy, HR Management","Accounting, Customer Support, Salesforce, Excel, Communication","Excel Advanced, Salesforce Certified",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, HR Management, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
Bachelor,5+ years,Operations,"Excel, Team Management, Customer Support, Salesforce",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, Salesforce, Excel, Operations, Team Management","Salesforce, Excel"
PhD,1-3 years,"Customer Service, Sales Strategy","Accounting, Customer Support, Salesforce, Team Management","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Customer Service, Salesforce, Accounting, Team Management",Salesforce
Master,0-1 years,"Sales Strategy, Accounting","Team Management, Communication, Excel, Customer Support",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Sales Strategy, Excel, Accounting, Communication, Team Management",Excel
PhD,5+ years,"Accounting, Market Research, Sales Strategy","Communication, Customer Support, Excel",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Sales Strategy, Market Research, Accounting, Excel, Communication",Excel
Master,5+ years,HR Management,"Customer Support, Communication, Salesforce",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Customer Support, Salesforce, HR Management, Communication",Salesforce
Master,3-5 years,Operations,"Customer Support, Team Management, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Operations, Accounting, Team Management, Customer Support",
Master,1-3 years,Operations,"Salesforce, Customer Support, Communication, Excel","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Excel, Communication, Operations","Salesforce, Excel"
Master,1-3 years,Market Research,"Customer Support, Salesforce, Excel",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Customer Support, Salesforce, Excel, Market Research","Salesforce, Excel"
Master,5+ years,"Customer Service, Accounting, Market Research","Accounting, Salesforce, Customer Support, Excel",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Customer Service, Market Research, Salesforce, Accounting, Excel","Salesforce, Excel"
Bachelor,1-3 years,Accounting,"Communication, Excel, Team Management, Accounting","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Excel, Accounting, Team Management, Communication",Excel
Bachelor,0-1 years,"Market Research, Sales Strategy, Operations","Communication, Customer Support, Accounting, Salesforce",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Communication, Operations",Salesforce
PhD,0-1 years,"Market Research, Sales Strategy, HR Management","Communication, Customer Support, Accounting, Excel",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Sales Strategy, HR Management, Market Research, Accounting, Excel, Communication",Excel
Master,3-5 years,"Customer Service, Market Research","Accounting, Salesforce, Communication, Customer Support",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Market Research, Salesforce, Accounting, Communication",Salesforce
Bachelor,5+ years,"Market Research, Sales Strategy","Team Management, Accounting, Communication, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Market Research Analyst,"Advanced Excel Course, Customer Service Training","Sales Strategy, Market Research, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,1-3 years,Sales Strategy,"Salesforce, Excel, Team Management, Accounting, Customer Support","Customer Service Expert, Excel Advanced",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Master,0-1 years,Customer Service,"Communication, Accounting, Excel","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Excel, Customer Service, Communication, Accounting",Excel
Bachelor,5+ years,"Customer Service, HR Management, Accounting","Customer Support, Team Management, Accounting",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Customer Service, HR Management, Accounting, Team Management",
Bachelor,5+ years,Sales Strategy,"Communication, Customer Support, Excel, Team Management",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, Sales Strategy, Excel, Communication, Team Management",Excel
Bachelor,0-1 years,"Sales Strategy, Accounting, Market Research","Salesforce, Team Management, Customer Support, Excel","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
PhD,0-1 years,Operations,"Team Management, Accounting, Communication, Excel",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Excel, Accounting, Communication, Operations, Team Management",Excel
Bachelor,3-5 years,"Sales Strategy, HR Management","Communication, Salesforce, Excel, Customer Support, Team Management","Salesforce Certified, Customer Service Expert",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
PhD,5+ years,"Market Research, HR Management, Customer Service","Salesforce, Excel, Customer Support, Communication",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, HR Management, Market Research, Salesforce, Excel, Communication","Salesforce, Excel"
PhD,3-5 years,"Customer Service, Sales Strategy","Communication, Accounting, Salesforce",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Sales Strategy, Customer Service, Salesforce, Accounting, Communication",Salesforce
PhD,1-3 years,"Operations, Market Research","Team Management, Accounting, Communication",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Market Research, Accounting, Communication, Operations, Team Management",
Bachelor,0-1 years,"Sales Strategy, Customer Service, Market Research","Salesforce, Communication, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Sales Strategy, Customer Service, Market Research, Salesforce, Accounting, Communication",Salesforce
PhD,0-1 years,HR Management,"Excel, Customer Support, Accounting, Team Management",Excel Advanced,Non-IT,Business Analyst,Advanced Excel Course,"Customer Support, HR Management, Excel, Accounting, Team Management",Excel
Master,5+ years,"HR Management, Customer Service, Sales Strategy","Customer Support, Salesforce, Communication, Team Management, Excel","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Customer Service, HR Management, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Master,1-3 years,"Operations, Accounting, Sales Strategy","Excel, Customer Support, Salesforce, Communication, Team Management","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Communication, Operations, Team Management","Salesforce, Excel"
Master,0-1 years,Customer Service,"Team Management, Communication, Accounting, Excel, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Service, Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
PhD,0-1 years,Sales Strategy,"Salesforce, Team Management, Customer Support","Salesforce Certified, Customer Service Expert",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Customer Support, Salesforce, Sales Strategy, Team Management",Salesforce
Master,1-3 years,Customer Service,"Communication, Salesforce, Team Management, Customer Support, Excel",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
PhD,3-5 years,"Operations, Market Research","Communication, Customer Support, Excel","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Market Research, Excel, Communication, Operations",Excel
PhD,0-1 years,Operations,"Customer Support, Accounting, Excel, Team Management",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Excel, Accounting, Operations, Team Management",Excel
Master,0-1 years,Market Research,"Team Management, Excel, Salesforce, Customer Support",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Customer Support, Market Research, Salesforce, Excel, Team Management","Salesforce, Excel"
Bachelor,0-1 years,"Accounting, Customer Service","Salesforce, Team Management, Communication, Accounting",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Service, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,3-5 years,"Customer Service, Market Research","Accounting, Salesforce, Communication","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Service, Market Research, Salesforce, Accounting, Communication",Salesforce
Bachelor,5+ years,"Customer Service, Sales Strategy","Customer Support, Accounting, Salesforce","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Customer Service, Salesforce, Accounting",Salesforce
PhD,3-5 years,"Accounting, Operations, Customer Service","Customer Support, Salesforce, Accounting, Excel, Team Management",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Customer Service, Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Accounting, HR Management, Operations","Salesforce, Accounting, Customer Support, Communication, Excel","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Salesforce, Accounting, Excel, Communication, Operations","Salesforce, Excel"
Master,3-5 years,"Operations, Sales Strategy, Customer Service","Accounting, Team Management, Communication, Salesforce",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Sales Strategy, Customer Service, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,0-1 years,Market Research,"Customer Support, Excel, Communication, Salesforce",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Market Research, Salesforce, Excel, Communication","Salesforce, Excel"
PhD,0-1 years,"Sales Strategy, Operations","Accounting, Customer Support, Salesforce, Team Management, Excel","Customer Service Expert, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
PhD,3-5 years,"Accounting, Sales Strategy, Customer Service","Accounting, Communication, Salesforce, Team Management","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Sales Strategy, Customer Service, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,5+ years,"Market Research, Accounting","Salesforce, Accounting, Team Management, Customer Support",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Market Research, Salesforce, Accounting, Team Management",Salesforce
PhD,1-3 years,"Accounting, Operations, Sales Strategy","Team Management, Excel, Communication, Accounting","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Sales Strategy, Excel, Accounting, Communication, Operations, Team Management",Excel
PhD,1-3 years,Customer Service,"Customer Support, Salesforce, Team Management, Excel","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Salesforce, Excel, Team Management","Salesforce, Excel"
PhD,5+ years,"Market Research, Customer Service","Team Management, Accounting, Salesforce, Customer Support, Communication",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Market Research, Salesforce, Accounting, Communication, Team Management",Salesforce
Bachelor,0-1 years,"Market Research, Operations, Customer Service","Excel, Accounting, Customer Support, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Market Research, Salesforce, Excel, Accounting, Operations","Salesforce, Excel"
PhD,1-3 years,"HR Management, Market Research","Customer Support, Salesforce, Team Management","Salesforce Certified, Customer Service Expert",Non-IT,Market Research Analyst,"Salesforce Training, Customer Service Training","Customer Support, Market Research, HR Management, Salesforce, Team Management",Salesforce
Bachelor,3-5 years,"Sales Strategy, Market Research, HR Management","Excel, Salesforce, Customer Support, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, HR Management, Market Research, Salesforce, Excel, Team Management","Salesforce, Excel"
PhD,5+ years,"Sales Strategy, Customer Service","Team Management, Salesforce, Accounting, Communication",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Sales Strategy, Customer Service, Salesforce, Accounting, Communication, Team Management",Salesforce
Bachelor,5+ years,"Market Research, Operations, Customer Service","Team Management, Communication, Salesforce","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Service, Market Research, Salesforce, Communication, Operations, Team Management",Salesforce
Bachelor,3-5 years,"Accounting, Operations, HR Management","Customer Support, Communication, Accounting, Salesforce","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Salesforce, Accounting, Communication, Operations",Salesforce
Bachelor,3-5 years,"Market Research, Operations","Team Management, Accounting, Excel, Salesforce","Customer Service Expert, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Market Research, Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Master,1-3 years,Market Research,"Accounting, Communication, Team Management, Customer Support",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, Market Research, Accounting, Communication, Team Management",
Bachelor,5+ years,Customer Service,"Communication, Salesforce, Excel","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Salesforce, Customer Service, Excel, Communication","Salesforce, Excel"
Master,3-5 years,"Accounting, Market Research","Team Management, Accounting, Salesforce","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Salesforce, Accounting, Team Management, Market Research",Salesforce
PhD,0-1 years,Market Research,"Team Management, Communication, Customer Support",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, Team Management, Market Research, Communication",
PhD,0-1 years,"Sales Strategy, Customer Service","Salesforce, Accounting, Excel, Customer Support","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Customer Service, Salesforce, Excel, Accounting","Salesforce, Excel"
PhD,3-5 years,"Accounting, Operations, Market Research","Team Management, Communication, Excel, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Market Research, Salesforce, Accounting, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Sales Strategy, Market Research","Salesforce, Team Management, Accounting",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Sales Strategy, Market Research, Salesforce, Accounting, Team Management",Salesforce
Bachelor,0-1 years,Customer Service,"Customer Support, Excel, Accounting","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Excel, Customer Service, Accounting",Excel
Bachelor,0-1 years,Accounting,"Customer Support, Accounting, Team Management, Salesforce",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Accounting, Team Management",Salesforce
PhD,3-5 years,"Accounting, Operations","Team Management, Salesforce, Excel, Communication","Salesforce Certified, Excel Advanced",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Salesforce, Accounting, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Master,5+ years,Accounting,"Team Management, Salesforce, Communication, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Salesforce, Accounting, Team Management, Communication",Salesforce
Master,5+ years,"Customer Service, Market Research, Accounting","Customer Support, Team Management, Excel, Salesforce, Accounting","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Market Research, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Bachelor,3-5 years,Customer Service,"Communication, Excel, Accounting",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Excel, Customer Service, Communication, Accounting",Excel
Master,0-1 years,"Operations, Market Research, Accounting","Customer Support, Team Management, Communication, Excel",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Market Research, Accounting, Excel, Communication, Operations, Team Management",Excel
Bachelor,0-1 years,Accounting,"Salesforce, Accounting, Customer Support, Excel, Communication",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
Bachelor,0-1 years,Market Research,"Team Management, Excel, Salesforce, Customer Support, Accounting",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Customer Support, Market Research, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
PhD,3-5 years,"Operations, Market Research, Accounting","Communication, Team Management, Salesforce, Excel",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Market Research, Salesforce, Accounting, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Sales Strategy, Market Research, Accounting","Customer Support, Salesforce, Excel, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Accounting, Sales Strategy","Customer Support, Excel, Communication, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Excel, Accounting, Communication",Excel
Master,0-1 years,"Sales Strategy, HR Management","Customer Support, Salesforce, Excel, Accounting",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Accounting","Salesforce, Excel"
Bachelor,0-1 years,"HR Management, Sales Strategy","Customer Support, Salesforce, Accounting, Team Management","Customer Service Expert, Salesforce Certified",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, HR Management, Salesforce, Accounting, Team Management",Salesforce
Bachelor,5+ years,Market Research,"Communication, Team Management, Excel, Accounting, Salesforce",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Market Research, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,1-3 years,Sales Strategy,"Customer Support, Team Management, Communication, Accounting",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, Sales Strategy, Accounting, Communication, Team Management",
Bachelor,0-1 years,Accounting,"Communication, Team Management, Salesforce",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Salesforce, Accounting, Team Management, Communication",Salesforce
Master,3-5 years,Sales Strategy,"Accounting, Communication, Customer Support, Team Management",Excel Advanced,Non-IT,Business Analyst,Advanced Excel Course,"Customer Support, Sales Strategy, Accounting, Communication, Team Management",
Master,1-3 years,"Customer Service, Market Research, Operations","Team Management, Salesforce, Customer Support",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, Market Research, Salesforce, Operations, Team Management",Salesforce
PhD,3-5 years,"Customer Service, HR Management","Team Management, Excel, Communication",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Service, HR Management, Excel, Communication, Team Management",Excel
PhD,0-1 years,"Market Research, Sales Strategy, HR Management","Team Management, Communication, Customer Support, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, HR Management, Market Research, Accounting, Communication, Team Management",
Bachelor,3-5 years,"HR Management, Operations, Sales Strategy","Excel, Communication, Salesforce, Accounting, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Bachelor,5+ years,"Operations, Customer Service","Customer Support, Accounting, Excel","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Excel, Accounting, Operations",Excel
PhD,1-3 years,"HR Management, Market Research, Sales Strategy","Excel, Customer Support, Communication, Team Management, Salesforce",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Customer Support, Sales Strategy, Market Research, HR Management, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Accounting, Operations, HR Management","Excel, Communication, Customer Support, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,3-5 years,"Sales Strategy, Customer Service, HR Management","Customer Support, Communication, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Customer Service, HR Management, Salesforce, Communication",Salesforce
PhD,0-1 years,"Operations, Sales Strategy, Customer Service","Team Management, Accounting, Salesforce, Customer Support, Excel","Customer Service Expert, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Customer Service, Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
Master,1-3 years,"Customer Service, Market Research","Team Management, Salesforce, Excel, Accounting",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Service, Market Research, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
PhD,5+ years,"Accounting, HR Management, Customer Service","Excel, Customer Support, Communication, Salesforce",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Customer Service, HR Management, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,1-3 years,"Operations, Customer Service, Market Research","Accounting, Customer Support, Team Management, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Market Research, Accounting, Excel, Operations, Team Management",Excel
Master,5+ years,"Market Research, HR Management","Salesforce, Team Management, Excel","Customer Service Expert, Excel Advanced",Non-IT,Market Research Analyst,"Advanced Excel Course, Customer Service Training","HR Management, Market Research, Salesforce, Excel, Team Management","Salesforce, Excel"
PhD,3-5 years,"Market Research, HR Management","Team Management, Excel, Communication, Salesforce",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"HR Management, Market Research, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
PhD,5+ years,Customer Service,"Salesforce, Team Management, Customer Support","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Customer Service, Team Management",Salesforce
Bachelor,0-1 years,"Market Research, Sales Strategy","Communication, Customer Support, Accounting, Salesforce, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Communication, Team Management",Salesforce
Bachelor,1-3 years,Customer Service,"Communication, Excel, Customer Support, Accounting, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Master,5+ years,"Market Research, Customer Service","Communication, Salesforce, Excel, Accounting","Salesforce Certified, Customer Service Expert",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Service, Market Research, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Bachelor,5+ years,Customer Service,"Communication, Team Management, Customer Support, Salesforce, Excel","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Master,0-1 years,"Operations, Market Research","Salesforce, Communication, Team Management, Accounting",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Market Research, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
PhD,1-3 years,Customer Service,"Excel, Accounting, Salesforce, Team Management, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,5+ years,"Sales Strategy, Accounting, Operations","Team Management, Salesforce, Accounting, Customer Support",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Sales Strategy, Salesforce, Accounting, Operations, Team Management",Salesforce
Bachelor,1-3 years,"Market Research, HR Management, Accounting","Communication, Salesforce, Accounting, Team Management",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"HR Management, Market Research, Salesforce, Accounting, Communication, Team Management",Salesforce
PhD,3-5 years,"HR Management, Sales Strategy, Market Research","Customer Support, Excel, Team Management, Salesforce",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Sales Strategy, Market Research, HR Management, Salesforce, Excel, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Operations, Market Research, Sales Strategy","Customer Support, Salesforce, Excel","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Market Research, Salesforce, Excel, Operations","Salesforce, Excel"
Master,5+ years,"HR Management, Customer Service, Market Research","Salesforce, Customer Support, Accounting","Salesforce Certified, Excel Advanced",Non-IT,Customer Support Representative,"Salesforce Training, Advanced Excel Course","Customer Support, Customer Service, Market Research, HR Management, Salesforce, Accounting",Salesforce
Master,3-5 years,"Sales Strategy, Accounting, Customer Service","Team Management, Customer Support, Excel, Communication, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, Customer Service, Accounting, Excel, Communication, Team Management",Excel
Master,5+ years,Customer Service,"Team Management, Accounting, Salesforce, Customer Support, Excel",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Customer Service, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Bachelor,3-5 years,Market Research,"Customer Support, Team Management, Excel, Accounting","Salesforce Certified, Customer Service Expert",Non-IT,Market Research Analyst,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Excel, Accounting, Team Management",Excel
Bachelor,1-3 years,Operations,"Customer Support, Accounting, Communication, Salesforce",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, Salesforce, Accounting, Communication, Operations",Salesforce
PhD,5+ years,"Customer Service, Operations","Salesforce, Accounting, Customer Support",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, Salesforce, Accounting, Operations",Salesforce
PhD,0-1 years,Sales Strategy,"Salesforce, Customer Support, Excel, Communication",Customer Service Expert,Non-IT,Business Analyst,Customer Service Training,"Customer Support, Sales Strategy, Salesforce, Excel, Communication","Salesforce, Excel"
Bachelor,5+ years,Accounting,"Team Management, Communication, Customer Support",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Accounting, Team Management, Communication",
PhD,3-5 years,"Sales Strategy, HR Management","Excel, Accounting, Team Management, Customer Support",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, Sales Strategy, HR Management, Excel, Accounting, Team Management",Excel
